ID,Northing,Easting,Elevation,Code
107,2781724.155,486382.678,100.428,BR
108,2781722.67,486389.491,101.043,BR
109,2781721.044,486383.32,100.458,BR
110,2781718.785,486379.241,100.233,BR
111,2781715.738,486379.003,100.107,BR
112,2781713.53,486379.363,100.141,BR
153,2781732.435,486321.913,99.319,BR
154,2781734.111,486324.224,99.286,BR
155,2781737.855,486326.714,99.177,BR
156,2781721.446,486337.631,99.373,BR
157,2781728.452,486335.637,99.288,BR
158,2781733.423,486337.195,99.297,BR
167,2781735.387,486331.7,99.256,BR
168,2781733.902,486335.587,99.28,BR
187,2781701.514,486359.119,98.817,BR
188,2781701.572,486357.846,98.938,BR
189,2781702.238,486361.016,98.857,BR
190,2781702.667,486365.888,99.132,BR
191,2781702.808,486368.288,99.328,BR
192,2781703.291,486371.798,99.633,BR
193,2781703.274,486375.175,100.009,BR
194,2781705.951,486378.294,100.084,BR
396,2781745.814,486300.301,98.947,BR
397,2781738.022,486301.207,98.625,BR
398,2781727.971,486302.41,98.677,BR
519,2781756.564,486289.369,98.98,BR
520,2781757.496,486287.255,98.999,BR
521,2781763.965,486275.997,98.987,BR
522,2781771.416,486262.957,99.268,BR
523,2781777.516,486254.474,99.851,BR
524,2781759.687,486257.944,98.588,BR
525,2781746.086,486255.555,96.948,BR
526,2781747.346,486249.626,97.262,BR
530,2781772.86,486246.462,99.866,BR
531,2781769.146,486247.474,99.813,BR
532,2781761.055,486249.482,99.787,BR
537,2781775.766,486245.848,99.86,BR
538,2781775.76,486245.849,99.86,BR
539,2781775.734,486245.808,99.862,BR
606,2781777.751,486254.101,99.938,BR
607,2781785.744,486252.225,99.942,BR
608,2781798.829,486248.928,99.954,BR
668,2781800.947,486248.529,99.964,BR
669,2781813.366,486245.319,99.985,BR
670,2781815.309,486253.213,99.974,BR
671,2781814.883,486248.815,99.99,BR
672,2781811.608,486262.141,99.98,BR
677,2781804.875,486238.236,99.904,BR
678,2781818.62,486234.25,99.834,BR
679,2781826.695,486227.225,98.958,BR
789,2781819.165,486257.824,99.351,BR
790,2781821.398,486252.235,99.337,BR
791,2781822.55,486244.529,99.301,BR
792,2781837.87,486248.46,99.429,BR
794,2781839.484,486237.491,99.373,BR
797,2781854.302,486236.227,99.154,BR
802,2781846.209,486250.807,99.563,BR
803,2781850.886,486252.198,99.554,BR
844,2781838.149,486235.771,98.749,BR
845,2781844.361,486233.304,98.579,BR
846,2781855.287,486227.568,97.441,BR
847,2781860.927,486225.61,97.097,BR
849,2781865.827,486225.088,96.633,BR
850,2781868.889,486225.438,96.449,BR
851,2781872.308,486226.86,96.351,BR
852,2781875.372,486229.161,96.353,BR
853,2781878.753,486233.174,96.339,BR
854,2781880.766,486236.557,96.316,BR
855,2781881.775,486239.738,96.314,BR
856,2781884.189,486250.643,96.693,BR
857,2781886.52,486241.803,96.051,BR
858,2781885.226,486236.928,96.002,BR
859,2781882.175,486231.045,96.061,BR
860,2781882.415,486227.94,95.914,BR
871,2781853.009,486209.843,96.719,BR
872,2781856.149,486214.752,97.143,BR
873,2781860.209,486218.775,97.19,BR
874,2781861.253,486219.585,96.813,BR
875,2781866.234,486218.901,96.58,BR
876,2781872.589,486219.286,96.366,BR
877,2781878.488,486220.691,96.075,BR
878,2781850.632,486223.941,97.791,BR
879,2781838.622,486230.809,98.2,BR
880,2781842.603,486228.926,98.581,BR
881,2781834.969,486221.395,97.75,BR
921,2781868.146,486237.749,98.761,BR
964,2781860.193,486220.16,96.603,BR
1031,2781853.612,486154.902,96.723,BR
1032,2781856.511,486159.181,96.733,BR
1033,2781841.772,486175.89,96.72,BR
1034,2781826.335,486193.001,96.787,BR
1069,2781840.38,486192.41,96.121,BR
1070,2781846.517,486197.672,96.163,BR
1071,2781833.456,486186.988,96.215,BR
1079,2781850.888,486150.661,96.77,BR
1080,2781806.445,486184.136,97.133,BR
