ID,Northing,Easting,Elevation,Code
1107,2781816.01,486192.608,95.774,BS
1108,2781816.011,486192.608,95.774,BS
1109,2781813.531,486189.283,95.74,BS
1110,2781811.197,486187.384,95.688,BS
1111,2781808.816,486185.356,95.596,BS
1112,2781806.384,486183.695,95.592,BS
1113,2781803.354,486182.904,95.53,BS
1114,2781800.267,486182.971,95.547,BS
1115,2781797.244,486183.402,95.575,BS
1116,2781794.555,486184.534,95.629,BS
1117,2781791.641,486185.842,95.627,BS
1118,2781788.922,486187.398,95.7,BS
1119,2781786.445,486189.073,95.743,BS
1120,2781784.03,486190.983,95.741,BS
1121,2781781.815,486193.382,95.775,BS
1122,2781780.011,486196.309,95.834,BS
1123,2781779.884,486199.242,95.882,BS
1124,2781779.916,486202.279,95.917,BS
1126,2781781.314,486205.182,95.991,BS
1127,2781783.883,486207.075,96.072,BS
1128,2781786.611,486208.421,96.15,BS
1129,2781789.482,486209.141,96.275,BS
1130,2781792.501,486209.399,96.294,BS
1131,2781795.518,486209.408,96.397,BS
1132,2781798.723,486209.585,96.23,BS
1133,2781801.525,486209.746,96.329,BS
1134,2781804.851,486209.833,96.317,BS
1135,2781807.674,486209.282,96.279,BS
1136,2781810.534,486208.023,96.219,BS
1137,2781813.116,486206.453,96.218,BS
1138,2781815.23,486204.249,96.15,BS
1139,2781816.512,486201.406,96.006,BS
1140,2781816.992,486198.324,95.902,BS
1141,2781816.926,486195.247,95.93,BS
1193,2781806.593,486161.048,94.993,BS
1194,2781806.691,486155.17,94.914,BS
1195,2781809.056,486153.795,94.889,BS
1196,2781810.18,486157.48,94.903,BS
1197,2781800.812,486162.495,94.989,BS
1198,2781804.504,486163.217,95.039,BS
1199,2781799.316,486168.611,95.208,BS
1200,2781797.933,486164.21,95.129,BS
1201,2781796.257,486168.356,95.232,BS
1202,2781797.419,486170.421,95.249,BS
1203,2781793.515,486174.08,95.301,BS
1204,2781792.029,486170.981,95.275,BS
1205,2781790.02,486172.432,95.287,BS
1206,2781791.84,486176.03,95.343,BS
1207,2781787.608,486180.43,95.392,BS
1208,2781785.907,486178.333,95.38,BS
1227,2781790.951,486219.243,96.542,BS
1228,2781792.615,486216.348,96.513,BS
1229,2781795.272,486216.013,96.533,BS
1230,2781795.468,486219.128,96.629,BS
1238,2781812.632,486214.621,96.533,BS
1239,2781813.003,486217.37,96.546,BS
1240,2781807.695,486218.233,96.582,BS
1241,2781807.161,486215.197,96.57,BS
1509,2781894.518,486267.582,99.169,BS
1510,2781890.172,486269.717,99.145,BS
1511,2781888.636,486270.619,99.207,BS
1512,2781891.545,486276.209,99.144,BS
1513,2781893.899,486276.882,99.131,BS
1514,2781897.188,486277.81,99.062,BS
1515,2781900.675,486276.158,99.225,BS
1516,2781897.761,486279.923,98.948,BS
1517,2781896.147,486279.753,99.024,BS
1518,2781896.612,486283.473,98.859,BS
1519,2781895.043,486283.549,98.967,BS
1520,2781886.418,486281.375,99.014,BS
1521,2781877.172,486279.107,99.08,BS
1522,2781878.631,486275.618,98.961,BS
1523,2781881.404,486274.105,99.102,BS
1609,2781935.286,486208.439,91.562,BS
1610,2781943.698,486211.474,91.031,BS
1611,2781954.223,486215.145,89.991,BS
1612,2781949.864,486226.788,90.054,BS
1613,2781944.754,486241.366,90.074,BS
1641,2781930.987,486218.795,91.963,BS
1642,2781925.417,486234.899,92.163,BS
1733,2781919.964,486269.123,98.15,BS
1734,2781917.388,486270.093,98.334,BS
1735,2781916.29,486275.137,98.539,BS
1736,2781914.705,486281.776,98.723,BS
1737,2781916.736,486282.268,98.607,BS
1738,2781917.518,486278.782,98.588,BS
1739,2781918.665,486273.862,98.555,BS
1740,2781921.958,486276.475,98.498,BS
1741,2781926.038,486275.183,98.382,BS
1742,2781927.143,486270.979,98.149,BS
1743,2781923.953,486267.938,98.124,BS
1760,2781912.515,486283.546,98.655,BS
1761,2781923.116,486286.067,98.498,BS
1762,2781934.271,486288.532,98.502,BS
1763,2781936.937,486292.52,98.449,BS
1764,2781936.316,486294.837,98.479,BS
1765,2781938.365,486295.531,98.245,BS
1766,2781939.441,486292.021,98.043,BS
1767,2781935.439,486286.637,98.145,BS
1768,2781927.757,486284.867,98.36,BS
