ID,Northing,Easting,Elevation,Code
101,2781734.913,486370.759,100.262,BU
102,2781732.926,486374.916,100.221,BU
103,2781731.732,486377.46,100.338,BU
104,2781731.075,486378.857,100.334,BU
105,2781730.428,486380.321,100.315,BU
106,2781746.176,486375.417,100.229,BU
143,2781699.651,486357.909,99.349,BU
144,2781706.473,486355.906,99.354,BU
145,2781712.796,486354.033,99.365,BU
146,2781724.865,486350.412,99.382,BU
147,2781722.851,486343.387,99.366,BU
148,2781721.2,486337.73,99.37,BU
149,2781725.103,486333.642,99.393,BU
150,2781724.345,486329.492,99.391,BU
151,2781732.328,486321.645,99.351,BU
152,2781731.522,486318.882,99.348,BU
349,2781720.108,486337.799,99.444,BU
350,2781717.704,486338.551,99.42,BU
351,2781711.913,486340.397,99.338,BU
352,2781705.274,486342.233,98.42,BU
353,2781696.69,486344.839,98.221,BU
354,2781697.93,486343.047,98.12,BU
355,2781701.325,486342.071,98.117,BU
356,2781701.253,486340.685,99.095,BU
359,2781701.163,486340.459,98.096,BU
376,2781727.111,486328.299,99.364,BU
377,2781728.5,486326.041,99.355,BU
378,2781727.603,486323.258,99.378,BU
379,2781730.54,486315.624,99.323,BU
380,2781728.497,486308.87,99.279,BU
540,2781757.444,486206.178,95.924,BU
541,2781763.877,486216.608,95.922,BU
542,2781767.607,486214.642,95.962,BU
543,2781768.611,486216.274,95.936,BU
544,2781771.106,486223.279,96.382,BU
545,2781776.307,486226.82,96.377,BU
546,2781781.725,486229.783,96.813,BU
547,2781784.023,486226.389,96.808,BU
548,2781785.708,486227.299,96.782,BU
549,2781789.228,486221.701,96.634,BU
550,2781791.99,486220.336,96.804,BU
555,2781792.461,486229.119,97.106,BU
556,2781792.8,486229.5,96.977,BU
697,2781807.067,486270.127,100.683,BU
698,2781810.685,486262.332,100.716,BU
699,2781817.339,486265.195,100.729,BU
700,2781819.603,486263.964,100.459,BU
701,2781822.493,486257.104,100.39,BU
702,2781832.686,486261.348,100.369,BU
703,2781846.311,486266.841,100.359,BU
704,2781833.465,486261.611,100.362,BU
705,2781833.498,486264.232,100.471,BU
808,2781857.375,486254.096,99.21,BU
817,2781851.964,486251.289,99.782,MAINBU
818,2781849.756,486249.92,99.779,MAINBU
819,2781848.977,486247.349,99.785,MAINBU
820,2781853.015,486244.396,99.767,MAINBU
829,2781805.007,486228.683,97.147,BU
830,2781804.789,486224.684,97.141,BU
831,2781806.776,486224.466,97.112,BU
832,2781806.336,486217.56,96.533,BU
837,2781811.012,486228.001,97.429,BU
842,2781823.143,486226.125,97.212,BU
882,2781835.741,486220.697,97.153,BU
883,2781843.399,486212.368,97.1,BU
884,2781841.45,486210.468,96.987,BU
885,2781843.794,486207.919,96.921,BU
1022,2781824.96,486186.865,96.651,BU
1023,2781829.834,486181.257,96.643,BU
1024,2781832.757,486180.301,96.626,BU
1025,2781837.712,486174.602,96.61,BU
1026,2781838.522,486171.798,96.613,BU
1027,2781843.439,486166.259,96.605,BU
1028,2781846.069,486164.984,96.591,BU
1029,2781850.968,486159.466,96.591,BU
1030,2781851.982,486157.811,96.408,BU
1061,2781841.106,486200.47,95.838,BU
1062,2781834.696,486197.211,95.897,BU
1063,2781824.415,486209.171,96.087,BU
1064,2781824.901,486211.301,96.177,BU
1065,2781828.357,486214.242,96.486,BU
1066,2781825.95,486221.454,96.517,BU
1067,2781809.999,486222.247,96.589,BU
1068,2781809.303,486219.173,96.567,BU
1072,2781819.691,486179.81,96.605,BU
1073,2781825.071,486174.713,96.57,BU
1074,2781831.241,486171.011,96.585,BU
1075,2781833.686,486168.984,96.549,BU
1076,2781834.817,486166.245,96.563,BU
1077,2781840.28,486161.166,96.51,BU
1078,2781849.984,486154.199,96.35,BU
1087,2781791.921,486220.378,96.899,BU
1088,2781788.684,486221.398,97.051,BU
1089,2781775.834,486215.417,96.546,BU
1090,2781774.352,486212.625,96.022,BU
1091,2781765.284,486201.243,95.662,BU
1092,2781765.18,486198.045,95.367,BU
1093,2781776.409,486189.066,95.453,BU
1094,2781771.659,486181.44,95.247,BU
1095,2781776.835,486184.178,95.402,BU
1096,2781785.133,486178.961,95.399,BU
1097,2781784.351,486177.567,95.444,BU
1098,2781788.245,486175.126,95.35,BU
1099,2781783.443,486167.288,95.078,BU
1100,2781785.003,486164.626,95.151,BU
1101,2781788.599,486170.422,95.27,BU
1102,2781796.936,486164.935,95.239,BU
1103,2781796.098,486163.665,95.25,BU
1104,2781800.044,486161.086,95.014,BU
1105,2781800.334,486156.416,94.998,BU
1106,2781811.838,486147.275,94.879,BU
1395,2781880.828,486286.234,99.274,BU
1396,2781872.307,486282.857,99.243,BU
1397,2781870.157,486282.032,99.283,BU
1398,2781861.227,486278.602,99.197,BU
1407,2781841.723,486278.227,100.239,BU
1408,2781842.519,486276.274,100.248,BU
1409,2781844.638,486271.075,100.267,BU
1490,2781877.856,486298.158,99.44,BU
1491,2781880.126,486292.396,99.407,BU
1492,2781878.906,486291.798,99.418,BU
1533,2781907.141,486291.684,98.649,BU
1534,2781901.548,486294.384,98.581,BU
1535,2781893.389,486294.385,99.154,BU
1536,2781897.033,486300.617,98.571,BU
1537,2781895.955,486301.142,98.273,BU
