ID,Northing,Easting,Elevation,Code
195,2781714.624,486376.964,100.082,C
196,2781718.423,486373.814,100.172,C
197,2781717.87,486372.198,100.088,C
198,2781718.679,486372.049,100.13,C
199,2781718.572,486370.873,100.068,C
200,2781719.97,486371.067,100.162,C
201,2781720.485,486371.394,100.202,C
202,2781721.568,486372.47,100.269,C
203,2781722.708,486372.524,100.311,C
204,2781722.989,486371.468,100.286,C
205,2781722.731,486370.59,100.279,C
206,2781721.677,486369.713,100.234,C
207,2781722.966,486368.326,100.262,C
208,2781724.227,486368.401,100.289,C
209,2781725.373,486367.879,100.281,C
210,2781724.863,486366.32,100.246,C
211,2781723.716,486365.849,100.191,C
212,2781725.774,486366.418,100.232,C
213,2781725.683,486364.083,100.141,C
214,2781724.447,486363.698,100.118,C
215,2781726.373,486363.62,100.111,C
216,2781725.814,486362.9,100.087,C
217,2781725.347,486361.726,100.032,C
218,2781726.613,486361.294,100.012,C
219,2781727.593,486361.053,99.98,C
220,2781726.96,486359.833,99.928,C
221,2781726.495,486358.873,99.885,C
222,2781727.572,486358.881,99.891,C
223,2781728.727,486358.405,99.854,C
224,2781728.472,486357.141,99.814,C
225,2781727.864,486355.9,99.783,C
226,2781727.522,486355.709,99.778,C
227,2781729.41,486356.264,99.775,C
228,2781730.22,486355.176,99.739,C
229,2781729.901,486353.947,99.725,C
230,2781728.684,486352.997,99.686,C
231,2781730.265,486352.398,99.682,C
232,2781729.83,486350.198,99.605,C
233,2781730.442,486348.053,99.544,C
234,2781731.861,486349.197,99.566,C
235,2781733.035,486347.282,99.505,C
236,2781732.12,486346.285,99.505,C
237,2781731.96,486345.054,99.454,C
238,2781734.021,486344.134,99.407,C
239,2781734.061,486343.296,99.395,C
240,2781733.484,486342.303,99.398,C
241,2781733.699,486339.517,99.343,C
242,2781735.422,486339.831,99.335,C
243,2781735.938,486336.604,99.324,C
244,2781735.91,486333.569,99.318,C
245,2781737.789,486332.415,99.316,C
246,2781738.46,486328.522,99.253,C
247,2781740.463,486326.64,99.189,C
248,2781741.052,486320.419,99.096,C
249,2781742.296,486321.018,99.095,C
250,2781727.519,486352.383,99.591,C
251,2781727.012,486352.093,99.379,C
252,2781725.859,486351.821,99.336,C
253,2781724.59,486351.545,99.132,C
254,2781723.429,486351.275,99.07,C
255,2781720.12,486365.698,99.96,C
256,2781719.146,486365.136,99.815,C
257,2781720.159,486363.88,99.763,C
258,2781719.967,486362.393,99.532,C
259,2781721.888,486364.195,100.056,C
260,2781718.569,486363.219,99.548,C
261,2781719.381,486361.507,99.421,C
262,2781719.529,486359.267,99.331,C
263,2781717.66,486359.754,99.344,C
264,2781717.025,486357.306,99.329,C
265,2781718.201,486355.831,99.309,C
266,2781716.633,486354.783,99.319,C
267,2781716.978,486352.875,99.374,C
268,2781719.338,486352.288,99.028,C
269,2781721.209,486351.97,99.058,C
270,2781723.602,486351.444,99.065,C
271,2781722.174,486354.031,99.046,C
272,2781720.873,486355.63,99.038,C
273,2781720.738,486358.104,99.071,C
274,2781722.781,486357.5,99.169,C
275,2781724.483,486356.88,99.519,C
276,2781725.916,486355.179,99.491,C
277,2781724.129,486358.288,99.505,C
278,2781723.312,486360.263,99.568,C
279,2781722.7,486362.15,99.589,C
280,2781720.995,486360.926,99.144,C
281,2781714.233,486367.226,99.668,C
282,2781715.946,486364.897,99.455,C
283,2781713.258,486365.034,99.27,C
284,2781712.917,486364.599,99.267,C
285,2781710.872,486364.487,99.126,C
286,2781713.021,486360.995,99.423,C
287,2781714.153,486358.565,99.172,C
288,2781712.914,486358.29,99.057,C
289,2781715.144,486356.692,99.333,C
290,2781720.621,486354.258,99.959,C
291,2781715.02,486354.141,99.372,C
292,2781712.412,486355.136,99.48,C
293,2781709.341,486356.313,99.202,C
294,2781710.663,486356.936,99.304,C
295,2781711.25,486357.301,99.409,C
296,2781709.249,486358.519,99.222,C
297,2781707.791,486359.916,99.296,C
298,2781710.326,486360.846,99.449,C
299,2781707.715,486366.289,99.2,C
300,2781708.708,486366.615,99.248,C
301,2781714.142,486364.746,99.641,C
302,2781712.209,486368.39,99.953,C
303,2781710.3,486373.074,99.839,C
304,2781713.282,486372.44,99.952,C
305,2781712.742,486372.95,100.01,C
306,2781710.354,486373.527,99.924,C
307,2781709.072,486370.99,99.955,C
308,2781709.916,486367.735,100.081,C
309,2781700.382,486371.704,99.671,C
310,2781700.121,486369.92,99.699,C
311,2781707.98,486361.549,99.685,C
312,2781708.986,486359.246,99.795,C
313,2781730.253,486364.329,100.71,C
314,2781727.019,486375.652,100.263,C
315,2781726.298,486375.384,100.267,C
316,2781725.455,486374.969,100.274,C
317,2781724.552,486374.886,100.268,C
318,2781722.409,486381.42,100.46,C
319,2781722.989,486382.352,100.444,C
320,2781722.765,486386.556,100.734,C
321,2781724.488,486380.53,101.215,C
322,2781730.222,486364.361,100.803,C
323,2781730.184,486364.642,100.599,C
324,2781729.489,486365.72,100.545,C
325,2781728.801,486365.903,100.53,C
326,2781726.455,486371.838,100.239,C
327,2781727.12,486368.11,100.144,C
328,2781728.109,486368.356,100.145,C
329,2781728.96,486369.069,100.112,C
330,2781727.101,486349.223,99.326,C
331,2781728.376,486348.302,99.41,C
332,2781727.297,486346.752,99.305,C
333,2781725.599,486348.809,99.249,C
334,2781726.258,486345.599,99.177,C
335,2781724.55,486344.729,99.216,C
336,2781724.18,486343.458,99.238,C
337,2781722.838,486341.584,99.305,C
338,2781724.028,486339.862,99.252,C
339,2781725.936,486339.156,99.254,C
340,2781727.584,486338.24,99.244,C
341,2781730.087,486340.643,99.314,C
342,2781731.795,486339.96,99.296,C
343,2781731.018,486337.785,99.225,C
344,2781730.14,486344.237,99.344,C
345,2781727.937,486343.421,99.2,C
346,2781728.114,486346.748,99.343,C
357,2781702.562,486342.101,99.095,C
358,2781703.431,486341.739,98.076,C
360,2781702.342,486341.1,97.998,C
361,2781703.076,486340.565,97.947,C
362,2781703.94,486339.939,97.938,C
363,2781705.009,486340.993,98.259,C
364,2781705.842,486340.884,98.725,C
365,2781704.679,486339.808,98.985,C
366,2781706.432,486339.097,99.022,C
367,2781707.661,486340.399,99.092,C
368,2781709.088,486338.805,99.283,C
369,2781712.123,486339.445,99.347,C
370,2781714.505,486337.958,99.4,C
371,2781718.463,486337.807,99.428,C
372,2781721.148,486335.886,99.384,C
373,2781725.403,486336.274,99.321,C
374,2781730.768,486334.607,99.272,C
375,2781730.613,486328.229,99.294,C
381,2781729.504,486310.106,98.562,C
382,2781731.626,486309.455,98.589,C
383,2781730.375,486307.287,98.495,C
384,2781728.103,486305.687,98.537,C
385,2781732.498,486303.903,98.395,C
386,2781734.911,486306.631,98.538,C
387,2781737.247,486309.226,98.583,C
388,2781738.154,486312.268,98.736,C
389,2781738.579,486316.404,98.936,C
390,2781738.571,486320.234,99.116,C
391,2781734.761,486305.062,98.457,C
392,2781739.589,486302.702,98.38,C
393,2781740.216,486306.365,98.45,C
394,2781742.634,486308.956,98.684,C
395,2781744.975,486304.337,98.5,C
427,2781743.035,486319.464,99.083,C
428,2781745.017,486310.522,99.052,C
429,2781748.16,486307.528,98.994,C
430,2781748.583,486301.891,98.933,C
431,2781751.818,486297.301,98.882,C
432,2781752.284,486291.819,98.78,C
433,2781755.934,486287.701,98.685,C
434,2781755.68,486280.9,98.609,C
435,2781759.038,486280.084,98.542,C
436,2781757.095,486275.393,98.54,C
437,2781761.196,486274.682,98.501,C
438,2781765.513,486271.374,98.415,C
439,2781762.308,486269.926,98.475,C
440,2781760.374,486265.964,98.517,C
441,2781762.632,486262.042,98.588,C
442,2781764.638,486259.254,98.643,C
443,2781764.778,486259.854,98.626,C
444,2781765.31,486272.202,98.418,C
445,2781763.757,486272.008,98.446,C
446,2781761.848,486271.638,98.468,C
447,2781759.51,486270.629,98.516,C
448,2781760.961,486266.574,98.524,C
449,2781762.345,486267.119,98.495,C
450,2781763.698,486267.595,98.44,C
451,2781764.357,486266.83,98.434,C
452,2781763.05,486266.53,98.477,C
453,2781761.242,486265.823,98.528,C
454,2781762.031,486263.624,98.551,C
455,2781763.13,486264.015,98.525,C
456,2781763.516,486264.11,98.514,C
457,2781764.39,486264.31,98.472,C
458,2781765.665,486264.278,98.441,C
459,2781766.243,486263.658,98.468,C
460,2781764.828,486263.986,98.458,C
461,2781762.654,486263.118,98.557,C
462,2781762.682,486261.011,98.609,C
463,2781764.122,486261.385,98.586,C
464,2781765.433,486261.282,98.551,C
465,2781765.799,486261.166,98.543,C
466,2781765.592,486260.68,98.569,C
467,2781764.706,486260.9,98.581,C
468,2781763.475,486260.801,98.606,C
469,2781763.819,486260.866,98.602,C
470,2781765.431,486263.701,98.444,C
471,2781764.279,486263.613,98.502,C
472,2781766.888,486263.078,98.483,C
473,2781765.218,486261.241,98.559,C
474,2781766.79,486260.431,98.552,C
475,2781769.816,486260.748,98.062,C
476,2781768.982,486257.802,98.219,C
477,2781767.998,486254.291,98.485,C
478,2781770.55,486252.44,98.666,C
479,2781772.832,486254.168,98.655,C
480,2781775.362,486255.37,98.703,C
481,2781776.713,486253.17,98.894,C
482,2781776.546,486250.859,98.994,C
483,2781776.728,486248.694,98.996,C
484,2781771.094,486248.865,98.806,C
485,2781769.437,486248.124,98.801,C
486,2781768.2,486250.16,98.812,C
487,2781765.835,486253.402,98.567,C
488,2781760.958,486256.965,98.062,C
489,2781759.554,486257.1,97.977,C
490,2781759.387,486256.008,97.856,C
491,2781760.478,486255.617,97.998,C
492,2781761.684,486254.751,98.155,C
493,2781761.083,486253.583,98.162,C
494,2781759.468,486253.225,97.941,C
495,2781758.262,486252.848,97.713,C
496,2781757.481,486252.545,97.595,C
497,2781757.719,486256.539,97.72,C
498,2781756.659,486256.487,97.589,C
499,2781756.461,486255.382,97.488,C
500,2781755.659,486253.882,97.39,C
501,2781755.262,486252.663,97.348,C
502,2781753.192,486253.225,97.113,C
503,2781752.992,486254.765,97.084,C
504,2781752.39,486255.99,97.023,C
505,2781751.307,486255.866,96.941,C
506,2781751.219,486254.008,96.927,C
507,2781750.319,486252.292,96.848,C
508,2781748.869,486253.194,96.701,C
509,2781747.882,486254.486,96.605,C
510,2781746.823,486255.21,96.517,C
511,2781745.525,486255.12,96.395,C
512,2781747.051,486252.008,96.6,C
513,2781748.27,486250.593,96.789,C
557,2781778.382,486253.151,99.486,C
558,2781777.619,486252.078,99.493,C
559,2781776.911,486251.102,99.502,C
560,2781775.603,486250.743,99.464,C
561,2781775.518,486252.459,99.376,C
562,2781775.996,486254.186,99.31,C
563,2781773.974,486252.135,99.354,C
564,2781772.919,486250.964,99.341,C
565,2781774.442,486249.518,99.447,C
566,2781775.897,486247.901,99.529,C
567,2781775.281,486246.776,99.613,C
568,2781777.293,486249.222,99.511,C
569,2781778.203,486250.332,99.555,C
570,2781779.187,486251.073,99.548,C
571,2781781.194,486252.315,99.53,C
572,2781782.482,486250.994,99.564,C
573,2781782.341,486249.709,99.597,C
574,2781781.467,486248.896,99.592,C
575,2781781.433,486247.904,99.552,C
576,2781783.932,486247.648,99.573,C
577,2781784.523,486246.278,99.516,C
578,2781783.645,486244.541,99.61,C
579,2781781.853,486244.568,99.598,C
580,2781781.628,486247.872,99.553,C
581,2781780.496,486248.455,99.552,C
582,2781786.7,486250.663,99.552,C
583,2781789.868,486250.311,99.573,C
584,2781788.933,486249.057,99.575,C
585,2781787.091,486246.873,99.56,C
586,2781791.684,486244.376,99.501,C
587,2781787.802,486244.319,99.525,C
588,2781784.952,486250.079,99.572,C
589,2781785.862,486248.479,99.61,C
590,2781784.057,486248.543,99.607,C
591,2781789.22,486249.939,99.566,C
592,2781791.482,486249.235,99.581,C
593,2781794.273,486248.903,99.588,C
594,2781792.51,486247.917,99.606,C
595,2781790.489,486246.348,99.598,C
596,2781795.688,486244.996,99.6,C
597,2781795.292,486246.002,99.62,C
598,2781795.603,486247.206,99.598,C
599,2781794.912,486248.524,99.595,C
600,2781797.569,486248.688,99.618,C
601,2781798.205,486247.296,99.612,C
602,2781797.214,486246.56,99.608,C
603,2781794.723,486245.567,99.609,C
604,2781797.092,486244.369,99.604,C
605,2781797.325,486242.956,99.558,C
609,2781785.437,486253.747,99.506,C
610,2781780.046,486254.742,99.465,C
611,2781783.242,486254.405,99.451,C
612,2781786.626,486255.551,99.451,C
613,2781788.125,486258.006,99.529,C
615,2781792.106,486257.462,99.587,C
616,2781790.974,486254.681,99.539,C
617,2781791.43,486252.359,99.568,C
618,2781795.353,486253.452,99.592,C
619,2781795.099,486256.565,99.576,C
620,2781795.116,486259.28,99.61,C
621,2781792.436,486258.925,99.598,C
622,2781799.683,486257.119,99.577,C
623,2781799.17,486254.461,99.599,C
624,2781798.437,486251.942,99.617,C
625,2781801.386,486248.694,99.605,C
640,2781799.414,486253.222,99.615,C
641,2781801.529,486255.386,99.606,C
642,2781803.629,486256.702,99.585,C
643,2781802.333,486259.134,99.638,C
644,2781804.49,486259.149,99.625,C
645,2781806.148,486256.53,99.557,C
646,2781807.019,486252.723,99.527,C
647,2781804.35,486250.502,99.587,C
648,2781803.285,486248.665,99.654,C
649,2781806.67,486247.862,99.611,C
650,2781810.016,486248.699,99.477,C
651,2781812.421,486247.813,99.625,C
652,2781813.004,486246.047,99.655,C
653,2781813.639,486250.964,99.643,C
654,2781813.35,486253.584,99.648,C
655,2781810.815,486256.331,99.574,C
656,2781805.293,486259.995,99.612,C
657,2781808.585,486260.204,99.636,C
658,2781811.539,486260.486,99.296,C
659,2781809.385,486260.872,99.296,C
660,2781807.618,486261.871,99.252,C
661,2781802.876,486261.728,99.613,C
706,2781800.763,486247.388,99.662,C
707,2781800.516,486244.058,99.654,C
708,2781803.348,486241.735,99.622,C
709,2781805.891,486241.934,99.655,C
710,2781806.67,486243.446,99.704,C
711,2781804.73,486243.833,99.733,C
712,2781806.769,486245.653,99.627,C
713,2781809.056,486244.691,99.605,C
714,2781808.787,486242.733,99.68,C
715,2781809.253,486240.655,99.619,C
716,2781811.456,486239.177,99.5,C
717,2781812.474,486240.08,99.58,C
718,2781811.625,486242.66,99.612,C
719,2781815.352,486243.295,99.475,C
720,2781817.401,486242.193,99.37,C
721,2781815.895,486240.228,99.486,C
722,2781817.677,486238.417,99.333,C
723,2781818.953,486240.824,99.284,C
724,2781819.467,486242.798,99.264,C
725,2781821.944,486246.517,99.226,C
726,2781821.095,486247.522,99.255,C
727,2781817.958,486244.173,99.314,C
728,2781818.066,486239.333,99.35,C
729,2781820.695,486237.394,99.133,C
730,2781821.642,486239.703,99.141,C
731,2781824.59,486240.763,98.95,C
732,2781824.445,486238.276,98.98,C
733,2781823.798,486235.403,98.898,C
734,2781827.511,486235.57,98.783,C
735,2781827.715,486238.149,98.785,C
736,2781827.905,486240.105,98.796,C
737,2781829.424,486237.551,98.705,C
738,2781829.178,486235.096,98.705,C
739,2781832.266,486233.298,98.566,C
740,2781833.334,486235.783,98.582,C
741,2781836.117,486236.01,98.493,C
742,2781836.021,486232.161,98.43,C
743,2781837.399,486233.648,98.517,C
744,2781838.67,486235.062,98.45,C
745,2781838.022,486231.619,98.377,C
746,2781833.181,486240.527,98.645,C
747,2781832.3,486244.856,98.801,C
748,2781830.846,486249.187,98.872,C
749,2781829.692,486253.661,98.942,C
750,2781826.934,486252.029,98.925,C
751,2781826.577,486248.34,98.901,C
752,2781831.957,486257.512,98.914,C
753,2781826.361,486257.203,98.981,C
754,2781823.121,486255.808,99.024,C
755,2781822.34,486252.637,99.038,C
756,2781823.493,486247.489,98.976,C
757,2781823.187,486244.139,99.113,C
758,2781824.36,486244.357,98.981,C
759,2781823.362,486242.877,99.036,C
760,2781824.835,486242.424,98.915,C
761,2781823.454,486241.686,99.033,C
762,2781822.243,486241.125,99.106,C
763,2781821.424,486244.166,99.194,C
764,2781819.922,486243.833,99.257,C
765,2781818.593,486244.644,99.301,C
766,2781817.137,486245.629,99.337,C
767,2781816.06,486245.605,99.403,C
768,2781816.739,486247.806,99.358,C
769,2781816.999,486250.401,99.395,C
770,2781818.724,486250.996,99.378,C
771,2781819.867,486249.517,99.317,C
772,2781816.462,486249.224,99.392,C
773,2781816.877,486251.124,99.417,C
774,2781817.824,486254.103,99.408,C
775,2781818.877,486255.022,99.303,C
776,2781818.949,486256.648,98.944,C
777,2781817.879,486256.277,98.927,C
778,2781818.966,486257.422,98.755,C
779,2781815.362,486254.66,99.176,C
780,2781815.369,486257.589,98.391,C
781,2781815.088,486258.664,98.129,C
782,2781815.804,486259.841,97.881,C
783,2781816.602,486260.549,97.787,C
784,2781818.449,486258.729,98.393,C
785,2781816.285,486261.224,97.592,C
786,2781814.524,486260.972,97.507,C
787,2781813.01,486261.051,97.417,C
788,2781814.932,486262.394,97.236,C
809,2781855.236,486254.722,99.372,C
810,2781853.196,486253.489,99.429,C
811,2781850.927,486255.494,99.394,C
812,2781852.576,486257.873,99.421,C
813,2781849.327,486260.514,99.485,C
814,2781849.777,486252.61,99.154,C
815,2781845.923,486254.147,99.047,C
816,2781846.801,486258.303,99.013,C
821,2781804.93,486239.617,99.55,C
822,2781811.267,486237.037,99.44,C
823,2781815.798,486236.418,99.333,C
824,2781817.915,486234.872,99.216,C
825,2781823.26,486233.964,98.805,C
826,2781824.06,486231.381,98.427,C
827,2781826.954,486228.475,98.191,C
828,2781830.225,486231.607,98.422,C
890,2781832.337,486231.734,98.294,C
891,2781834.795,486230.578,98.056,C
892,2781836.176,486229.674,97.856,C
893,2781838.311,486229.192,97.722,C
894,2781832.007,486228.461,97.913,C
895,2781833.563,486227.541,97.583,C
896,2781830.594,486226.614,97.816,C
897,2781833.573,486225.034,97.64,C
898,2781835.112,486222.946,97.534,C
899,2781839.005,486225.684,97.532,C
900,2781843.27,486237.76,98.851,C
901,2781843.362,486236.279,98.724,C
902,2781845.33,486236.2,98.693,C
903,2781847.3,486234.64,98.516,C
904,2781848.141,486236.763,98.867,C
905,2781848.993,486234.491,98.502,C
906,2781850.914,486235.482,98.682,C
907,2781850.638,486232.303,98.26,C
908,2781853.539,486233.156,98.31,C
