ID,Northing,Easting,Elevation,Code
113,2781711.65,486379.339,100.124,LP
170,2781711.744,486379.516,100.128,LP
174,2781708.403,486372.179,99.597,LP
175,2781712.684,486371.121,99.654,LP
185,2781740.391,486314.614,98.804,LP
186,2781729.611,486342.871,99.325,LP
514,2781763.85,486252.867,98.923,LP
515,2781750.837,486285.271,98.241,LP
687,2781801.774,486240.317,99.448,LP
796,2781841.553,486236.589,98.806,LP
848,2781861.6,486225.876,96.864,LP
1401,2781864.662,486274.05,99.137,LP
1625,2781929.133,486206.768,92.215,LP
1643,2781920.706,486229.047,92.637,LP
1801,2781909.154,486231.629,93.367,LP
1833,2781943.241,486243.136,90.436,LP
