ID,Northing,Easting,Elevation,Code
114,2781713.363,486378.916,100.098,R
115,2781716.622,486377.823,100.125,R
116,2781719.41,486375.982,100.223,R
117,2781721.582,486374.159,100.257,R
118,2781723.485,486371.707,100.308,R
119,2781725.02,486369.072,100.298,R
120,2781712.316,486375.221,100.019,R
121,2781715.537,486373.378,100.032,R
122,2781718.857,486371.31,100.13,R
123,2781722.476,486367.267,100.187,R
124,2781724.29,486363.189,100.089,R
125,2781724.327,486363.297,100.078,R
126,2781725.426,486360.268,99.946,R
127,2781726.511,486357.359,99.831,R
128,2781727.372,486354.982,99.751,R
129,2781728.582,486351.774,99.629,R
130,2781725.804,486367.902,100.272,R
131,2781727.178,486364.336,100.117,R
132,2781728.786,486360.14,99.906,R
133,2781730.019,486356.806,99.762,R
134,2781731.29,486353.328,99.675,R
135,2781723.149,486363.666,100.119,R
136,2781721.26,486363.043,99.774,R
137,2781720.036,486358.398,99.314,R
138,2781718.708,486353.642,99.319,R
139,2781715.048,486354.215,99.36,R
140,2781716.173,486358.343,99.327,R
141,2781718.293,486366.208,99.896,R
142,2781719.095,486369.068,100.082,R
410,2781739.688,486330.858,99.221,R
411,2781739.296,486323.785,99.097,R
412,2781744.188,486311.099,99.009,R
413,2781747.368,486311.63,98.981,R
414,2781751.943,486300.55,98.879,R
415,2781753.076,486287.422,98.63,R
416,2781756.876,486274.197,98.482,R
417,2781760.527,486262.788,98.536,R
418,2781764.75,486255.908,98.763,R
419,2781769.301,486251.909,99.171,R
420,2781769.298,486251.906,99.17,R
421,2781773.632,486249.566,99.388,R
422,2781777.095,486248.193,99.481,R
423,2781778.147,486253.727,99.456,R
424,2781774.181,486258.561,98.86,R
425,2781764.671,486274.205,98.422,R
426,2781757.245,486287.346,98.624,R
627,2781778.877,486253.367,99.481,R
628,2781789.368,486251.126,99.559,R
629,2781796.751,486249.561,99.607,R
634,2781797.296,486244.026,99.558,R
635,2781786.823,486246.263,99.496,R
638,2781777.174,486248.145,99.471,R
639,2781772.398,486250.021,99.319,R
688,2781803.652,486242,99.625,R
689,2781811.886,486239.498,99.53,R
690,2781824.206,486235.724,98.917,R
691,2781835.85,486231.951,98.417,R
692,2781836.886,486235.966,98.465,R
693,2781818.245,486241.177,99.308,R
694,2781802.591,486246.016,99.662,R
695,2781813.293,486245.022,99.553,R
962,2781844.411,486229.851,98.155,R
963,2781854.845,486223.725,97.121,R
