ID,Northing,Easting,Elevation,Code
399,2781749.916,486309.308,98.945,Shrubs
400,2781747.83,486314.19,98.946,Shrubs
401,2781745.82,486318.95,99.023,Shrubs
402,2781744.959,486322.175,99.002,Shrubs
403,2781743.008,486325.368,99.006,Shrubs
404,2781742.215,486328.14,99.031,Shrubs
406,2781740.626,486332.88,99.069,Shrubs
409,2781736.292,486344.64,99.221,Shrubs
630,2781791.793,486251.336,99.59,S
631,2781794.299,486250.809,99.528,S
632,2781797.207,486250.217,99.57,S
633,2781803.035,486248.639,99.65,S
636,2781786.187,486244.633,99.506,S
664,2781803.094,486248.162,99.666,S
665,2781814.799,486251.654,99.547,S
666,2781813.648,486248.797,99.527,S
667,2781812.935,486246.889,99.547,S
886,2781843.771,486209.834,96.833,S
887,2781847.043,486213.237,96.863,S
888,2781835.399,486224.258,97.529,S
889,2781833.34,486226.094,97.588,S
1036,2781825.49,486191.286,96.47,S
1037,2781829.214,486188.686,96.499,S
1038,2781834.495,486182.277,96.456,S
1039,2781838.761,486178.517,96.393,S
1040,2781843.547,486172.815,96.419,S
1041,2781848.049,486167.532,96.406,S
1042,2781852.868,486162.236,96.354,S
1646,2781940.847,486204.007,91.322,S
1647,2781940.313,486206.263,91.289,S
1648,2781944.471,486207.9,91.067,S
1649,2781948.692,486208.928,91.061,S
1744,2781927.97,486269.176,98.062,S
1745,2781931.216,486272.206,97.888,S
1746,2781934.042,486275.498,97.879,S
1747,2781937.346,486278.739,97.806,S
1748,2781939.419,486282.344,97.8,S
1749,2781938.343,486284.145,97.881,S
1750,2781940.51,486286.138,97.815,S
1751,2781939.885,486288.264,97.88,S
1778,2781947.715,486293.932,97.579,S
