ID,Northing,Easting,Elevation,Code
159,2781732.827,486338.121,99.642,SW
160,2781731.822,486337.79,99.648,SW
161,2781732.123,486336.783,99.647,SW
162,2781733.135,486337.08,99.638,SW
163,2781737.3,486326.35,99.512,SW
164,2781736.295,486325.974,99.521,SW
165,2781736.721,486325.006,99.502,SW
166,2781737.681,486325.392,99.501,SW
533,2781758.971,486261.549,98.225,SW
534,2781758.463,486262.575,98.223,SW
551,2781791.193,486224.46,97.565,SW
552,2781792.279,486224.442,97.599,SW
553,2781792.264,486225.556,97.564,SW
554,2781791.34,486225.706,97.59,SW
833,2781808.974,486222.792,97.575,SW
834,2781809.226,486224.455,97.59,SW
835,2781809.948,486222.666,97.567,SW
836,2781810.154,486224.249,97.587,SW
838,2781815.861,486228.29,97.586,SW
839,2781817.003,486228.212,97.576,SW
840,2781816.819,486227.115,97.602,SW
841,2781815.785,486227.212,97.614,SW
