ID,Northing,Easting,Elevation,Code
169,2781713.452,486380.032,100.214,T
171,2781708.396,486372.084,99.606,T
172,2781706.511,486371.91,99.628,T
173,2781709.53,486371.253,99.504,T
176,2781717.032,486369.576,99.632,T
177,2781721.843,486362.832,99.679,T
178,2781722.804,486360.433,99.552,T
179,2781724.613,486355.426,99.54,T
180,2781725.74,486352.87,99.409,T
181,2781727.655,486340.602,99.297,T
182,2781729.97,486337.852,99.252,T
183,2781735.424,486324.715,99.249,T
184,2781739.234,486313.456,98.83,T
405,2781742.647,486328.675,98.964,Tree
407,2781738.91,486336.703,99.109,Tree
408,2781738.566,486340.377,99.073,Tree
516,2781750.487,486286.159,98.447,T
517,2781756.223,486291.403,98.62,T
518,2781754.427,486297.618,98.696,T
527,2781765.754,486250.75,99.24,T
528,2781766.737,486251.308,99.336,T
529,2781773.209,486248.278,99.38,T
535,2781758.662,486261.18,98.176,T
536,2781756.369,486269.844,98.168,T
614,2781789.926,486258.795,99.608,T
626,2781792.877,486243.121,99.433,T
637,2781773.882,486247.862,99.399,T
662,2781803.647,486260.495,99.638,T
663,2781802.717,486261.969,99.54,T
680,2781824.687,486233.296,98.684,T
681,2781808.907,486237.885,99.519,T
682,2781803.504,486239.621,99.613,T
683,2781798.84,486241.25,99.527,T
684,2781797.38,486241.751,99.492,T
685,2781789.986,486243.748,99.473,T
686,2781792.87,486243.067,99.441,T
793,2781838.88,486247.613,99.411,T
795,2781840.748,486238.383,99.294,T
804,2781849.873,486259.623,99.507,T
805,2781852.473,486254.857,99.544,T
806,2781853.535,486256.812,99.447,T
807,2781852.425,486258.721,99.427,T
843,2781815.985,486231.912,98.219,T
861,2781880.785,486246.552,96.541,T
862,2781880.031,486240.757,96.278,T
863,2781878.668,486236.05,96.24,T
864,2781875.704,486231.097,96.319,T
865,2781856.428,486229.915,97.861,T
866,2781843.887,486227.141,97.875,T
867,2781840.664,486228,97.76,T
868,2781855.196,486213.207,96.647,T
869,2781863.249,486218.474,96.488,T
870,2781868.532,486218.067,96.244,T
1035,2781820.479,486186.05,96.539,T
1125,2781780.458,486203.338,96.047,T
1385,2781853.918,486267.809,99.996,T
1386,2781863.796,486265.964,99.189,T
1387,2781865.407,486257.232,98.991,T
1388,2781877.555,486258.235,97.83,T
1389,2781886.318,486248.574,97.034,T
1390,2781886.357,486250.863,96.173,T
1391,2781890.592,486254.652,95.7,T
1392,2781886.02,486259.755,96.75,T
1393,2781881.627,486264.58,97.532,T
1394,2781877.732,486269.375,98.673,T
1399,2781864.213,486278.651,99.376,T
1400,2781865.766,486278.906,99.281,T
1406,2781883.374,486266.234,98.568,T
1532,2781894.241,486290.96,99.169,T
1631,2781916.893,486202.132,92.502,T
1632,2781929.357,486206.406,92.438,T
1633,2781925.718,486205.209,92.408,T
1634,2781904.574,486186.335,90.233,T
1635,2781917.376,486180.072,89.272,T
1671,2781903.014,486226.359,93.113,T
1672,2781868.259,486213.516,94.63,T
1673,2781863.013,486210.564,94.749,T
1674,2781855.004,486208.127,95.7,T
1800,2781906.598,486230.989,93.538,T
1802,2781911.534,486232.609,93.06,T
1803,2781916.797,486234.424,92.6,T
1804,2781925.631,486237.273,91.918,T
1805,2781931.185,486239.285,91.443,T
1806,2781936.812,486241.014,90.994,T
1807,2781942.04,486242.797,90.565,T
1808,2781947.399,486244.437,90.29,T
1809,2781961.208,486249.515,88.792,T
1810,2781959.261,486255.268,88.683,T
1811,2781952.508,486253.105,89.071,T
1812,2781945.847,486250.813,89.536,T
1813,2781941.868,486249.551,89.912,T
1814,2781934.945,486247.139,90.707,T
1815,2781928.213,486245.01,91.444,T
1816,2781922.245,486242.979,92.117,T
1817,2781919.416,486241.968,92.389,T
1818,2781912.764,486239.853,93.009,T
1819,2781905.836,486240.146,93.764,T
1820,2781900.078,486245.182,94.614,T
1821,2781891.121,486254.367,95.895,T
1822,2781899.586,486228.792,94.235,T
1823,2781894.845,486227.135,94.468,T
1824,2781889.859,486225.419,95.04,T
1825,2781884.158,486223.484,95.514,T
1826,2781879.543,486222.134,95.817,T
1848,2781886.445,486248.546,95.743,T
